,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
256,2021-10-14 10:46:00,442.18,442.2,442.16,442.17,340,442.178,239,442.03,442.3305,441.7295,440.6729,66.8579,442.15,442.2,436.12,443.22,168.02,18.54,7.98
257,2021-10-14 10:47:00,442.18,442.2,442.15,442.19,610,442.17,331,442.052,442.3309,441.7731,440.6761,68.1696,442.15,442.2,436.12,443.22,168.01,18.53,7.98
258,2021-10-14 10:48:00,442.19,442.27,442.19,442.26,868,442.237,425,442.081,442.3164,441.8456,440.6809,72.3017,442.25,442.27,436.12,443.22,168.02,18.52,7.98
259,2021-10-14 10:49:00,442.25,442.37,442.25,442.36,1526,442.305,743,442.1135,442.3115,441.9155,440.6897,76.9126,442.36,442.53,436.12,443.22,168.03,18.52,7.97
260,2021-10-14 10:50:00,442.37,442.39,442.23,442.24,1545,442.302,779,442.128,442.3183,441.9377,440.6979,63.2958,442.2,442.25,436.12,443.22,168.02,18.52,7.97
261,2021-10-14 10:51:00,442.23,442.27,442.19,442.27,670,442.22,382,442.142,442.3308,441.9532,440.7015,64.9657,442.27,442.28,436.12,443.22,168.03,18.51,7.97
262,2021-10-14 10:52:00,442.27,442.32,442.26,442.28,695,442.293,392,442.157,442.3395,441.9745,440.7052,65.5287,442.28,442.28,436.12,443.22,168.03,18.51,7.98
263,2021-10-14 10:53:00,442.28,442.3,442.24,442.26,507,442.268,279,442.169,442.3454,441.9926,440.7079,63.3365,442.25,442.27,436.12,443.22,168.03,18.51,7.98
264,2021-10-14 10:54:00,442.25,442.28,442.24,442.26,192,442.261,137,442.1815,442.3461,442.0169,440.7089,63.3365,442.25,442.27,436.12,443.22,167.99,18.51,7.98
265,2021-10-14 10:55:00,442.26,442.33,442.26,442.33,547,442.302,279,442.195,442.3618,442.0282,440.7119,67.72,442.29,442.36,436.12,443.22,168.01,18.48,7.98
266,2021-10-14 10:56:00,442.32,442.43,442.31,442.43,589,442.368,358,442.2125,442.3996,442.0254,440.7153,72.735,442.36,442.53,436.12,443.22,168.03,18.49,7.97
267,2021-10-14 10:57:00,442.43,442.43,442.33,442.35,1142,442.378,463,442.226,442.4118,442.0402,440.7216,64.1488,442.29,442.36,436.12,443.22,168.03,18.48,7.97
268,2021-10-14 10:58:00,442.35,442.36,442.28,442.29,475,442.313,286,442.234,442.4164,442.0516,440.7241,58.5648,442.29,442.36,436.12,443.22,168.02,18.47,7.97
269,2021-10-14 10:59:00,442.29,442.32,442.26,442.28,383,442.294,284,442.245,442.4097,442.0803,440.7261,57.6639,442.28,442.28,436.12,443.22,168.03,18.46,7.97
270,2021-10-14 11:00:00,442.27,442.34,442.23,442.3,940,442.289,526,442.255,442.4071,442.1029,440.7311,59.0216,442.29,442.36,436.12,443.22,168.04,18.46,7.97
271,2021-10-14 11:01:00,442.31,442.31,442.17,442.19,617,442.239,426,442.258,442.4023,442.1137,440.7341,49.5997,442.15,442.2,436.12,443.22,168.02,18.48,7.98
272,2021-10-14 11:02:00,442.2,442.27,442.13,442.15,881,442.2,618,442.2585,442.4012,442.1158,440.7383,46.6815,442.15,442.2,436.12,443.22,168.02,18.48,7.99
